final_rank,shortlist_rank,candidate_name,feature_set_name,feature_family,model_name,model_family,temporal_cv_roc_auc_mean,temporal_cv_log_loss_mean,temporal_cv_brier_mean,temporal_cv_accuracy_mean,repeated_cv_split_count,repeated_cv_eval_count,stochastic_seed_count,repeated_cv_resolved_feature_count_mean,repeated_cv_resolved_feature_count_min,repeated_cv_resolved_feature_count_max,repeated_cv_roc_auc_mean,repeated_cv_roc_auc_std,repeated_cv_log_loss_mean,repeated_cv_brier_mean,repeated_cv_accuracy_mean,repeated_cv_seed_roc_auc_std_mean,holdout_roc_auc,holdout_log_loss,holdout_brier,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_ece,holdout_tuned_objective,holdout_tuned_threshold,holdout_tuned_accuracy,holdout_tuned_precision,holdout_tuned_recall,holdout_tuned_f1,holdout_tuned_accuracy_gain
1,16,univariate_top_11__svm_linear_c0.1_cwnone,univariate_top_11,univariate_top_k,svm_linear_c0.1_cwnone,svm_linear,0.6519800996679327,0.6550386008842674,0.231841229864202,0.6017940418730529,10,10,1,11.0,11,11,0.6479649542127117,0.016011272446317466,0.6554950649581621,0.23207748657431213,0.6046723679648677,0.0,0.6828385899814471,0.6371386392890558,0.2236803147862059,0.6258503401360545,0.6086956521739131,0.6,0.60431654676259,0.04327194953706537,accuracy,0.505,0.6292517006802721,0.6148148148148148,0.5928571428571429,0.6036363636363636,0.003401360544217691
2,17,univariate_top_11__logreg_l2_c0.3_cwnone,univariate_top_11,univariate_top_k,logreg_l2_c0.3_cwnone,logreg_l2,0.6511612700725252,0.6557718816119217,0.2321625616904923,0.596767214981829,10,10,1,11.0,11,11,0.6484503560893468,0.016081223588561937,0.6552915037192699,0.23200015114916095,0.6074213182325975,0.0,0.6828385899814471,0.6387933840597699,0.22430145922903105,0.6292517006802721,0.6165413533834586,0.5857142857142857,0.6007326007326007,0.04667327134978178,accuracy,0.49,0.6156462585034014,0.5957446808510638,0.6,0.597864768683274,-0.013605442176870763
3,18,univariate_top_11__logreg_l2_c0.3_cwbalanced,univariate_top_11,univariate_top_k,logreg_l2_c0.3_cwbalanced,logreg_l2,0.6511560907082915,0.6559415939399442,0.2321768650679914,0.6010775981466805,10,10,1,11.0,11,11,0.6484565424853967,0.016147899789914995,0.6560250624992757,0.2323409235270529,0.6068369351669941,0.0,0.6828385899814471,0.6393990652000184,0.22449202888069988,0.6292517006802721,0.6054421768707483,0.6357142857142857,0.6202090592334495,0.05434302035555834,accuracy,0.51,0.6156462585034014,0.5957446808510638,0.6,0.597864768683274,-0.013605442176870763
4,7,univariate_top_11__logreg_l1_c0.1_cwnone,univariate_top_11,univariate_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6529691359122195,0.6544046241703362,0.2315554403420347,0.6015281142955776,10,10,1,11.0,11,11,0.6485087145338129,0.01439664325396446,0.655111803958494,0.2319289772472382,0.6042825224392312,0.0,0.6823283858998144,0.6398006219228004,0.2247818863271714,0.6190476190476191,0.6044776119402985,0.5785714285714286,0.5912408759124088,0.04048014625392136,accuracy,0.52,0.6292517006802721,0.624,0.5571428571428572,0.5886792452830188,0.010204081632653073
5,9,univariate_top_11__logreg_l1_c0.1_cwbalanced,univariate_top_11,univariate_top_k,logreg_l1_c0.1_cwbalanced,logreg_l1,0.6528773587665327,0.6543403322208823,0.2314736554059863,0.6090875163610777,10,10,1,11.0,11,11,0.6485180832673874,0.01446076487356598,0.655989482689521,0.2323425352203503,0.6034982087137408,0.0,0.6821892393320965,0.6404422626948781,0.2250064194197248,0.6292517006802721,0.6026490066225165,0.65,0.6254295532646048,0.05358805255051094,accuracy,0.525,0.6224489795918368,0.6106870229007634,0.5714285714285714,0.5904059040590406,-0.006802721088435382
6,4,univariate_top_8__logreg_l1_c0.1_cwbalanced,univariate_top_8,univariate_top_k,logreg_l1_c0.1_cwbalanced,logreg_l1,0.6532540696900974,0.6546805876932555,0.2316048537501228,0.6120335420466035,10,10,1,8.0,8,8,0.6481535470921489,0.012834806795295927,0.6561487187616087,0.23240551351156133,0.6050687622789784,0.0,0.6812615955473098,0.6406440124480917,0.22511717170179515,0.6292517006802721,0.6026490066225165,0.65,0.6254295532646048,0.05667907758223815,accuracy,0.53,0.6292517006802721,0.6220472440944882,0.5642857142857143,0.5917602996254682,0.0
7,33,univariate_top_20__logreg_l2_c1.0_cwnone,univariate_top_20,univariate_top_k,logreg_l2_c1.0_cwnone,logreg_l2,0.6419950596376579,0.6636558802436442,0.2354804993410452,0.5960558402216628,10,10,1,20.0,20,20,0.6476593745391191,0.014662637838297342,0.6564206740379344,0.2325314113182014,0.608407873955083,0.0,0.6812615955473098,0.6414417064990325,0.22528208164142324,0.6224489795918368,0.6141732283464567,0.5571428571428572,0.5842696629213483,0.039273907104544405,accuracy,0.505,0.6190476190476191,0.6129032258064516,0.5428571428571428,0.5757575757575758,-0.003401360544217691
8,3,univariate_top_8__logreg_l1_c0.1_cwnone,univariate_top_8,univariate_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6533138484591009,0.6548100845935481,0.2317185929066452,0.6054431322291655,10,10,1,8.0,8,8,0.6481210378592288,0.012788379691230915,0.6552862297178548,0.23199855880988887,0.6021221926884703,0.0,0.6812152133580704,0.6400390952498417,0.22490542772047312,0.6224489795918368,0.6058394160583942,0.5928571428571429,0.5992779783393501,0.0448204691405502,accuracy,0.52,0.6292517006802721,0.628099173553719,0.5428571428571428,0.5823754789272031,0.006802721088435382
9,10,univariate_top_8__logreg_elastic_c0.1_r08,univariate_top_8,univariate_top_k,logreg_elastic_c0.1_r08,logreg_elasticnet,0.6528665616176331,0.6545619845362144,0.2315577157879192,0.6075496033204179,10,10,1,8.0,8,8,0.648559162612828,0.012913463972573161,0.6557240797586367,0.23221028344378514,0.603887669016526,0.0,0.6810760667903526,0.6404145974476857,0.2250224644834715,0.6292517006802721,0.6040268456375839,0.6428571428571429,0.6228373702422145,0.04283459501332402,accuracy,0.53,0.6292517006802721,0.6220472440944882,0.5642857142857143,0.5917602996254682,0.0
10,11,univariate_top_8__logreg_elastic_c0.3_r08,univariate_top_8,univariate_top_k,logreg_elastic_c0.3_r08,logreg_elasticnet,0.6526780564263167,0.6555058546669862,0.2318936512260436,0.6097665317077969,10,10,1,8.0,8,8,0.6497507057992896,0.01251917940549225,0.6549993615601812,0.23189972464383507,0.6023163450055857,0.0,0.6808441558441559,0.6405771187625673,0.22505848932297684,0.6258503401360545,0.6013513513513513,0.6357142857142857,0.6180555555555556,0.04246176467226795,accuracy,0.53,0.6258503401360545,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.0
11,15,univariate_top_8__logreg_l2_c5.0_cwbalanced,univariate_top_8,univariate_top_k,logreg_l2_c5.0_cwbalanced,logreg_l2,0.652132226560314,0.6570723000796493,0.2324778548786063,0.6076273384610921,10,10,1,8.0,8,8,0.6502452512653123,0.012736175324958413,0.6548622308604808,0.23184238853385933,0.6031037405138873,0.0,0.6807050092764378,0.6403049417728641,0.22491698279098007,0.6224489795918368,0.5986394557823129,0.6285714285714286,0.6132404181184669,0.06023276321302962,accuracy,0.525,0.6326530612244898,0.6194029850746269,0.5928571428571429,0.6058394160583942,0.010204081632653073
12,14,univariate_top_8__logreg_l2_c10.0_cwbalanced,univariate_top_8,univariate_top_k,logreg_l2_c10.0_cwbalanced,logreg_l2,0.6521476644317854,0.657156504520859,0.2325146786672186,0.6087131147911681,10,10,1,8.0,8,8,0.650226761131582,0.012736291555234399,0.6548646885511016,0.23184373142357617,0.6027111984282908,0.0,0.6806586270871986,0.6403081965009062,0.2249177776588084,0.6224489795918368,0.5986394557823129,0.6285714285714286,0.6132404181184669,0.06025746104464935,accuracy,0.525,0.6326530612244898,0.6194029850746269,0.5928571428571429,0.6058394160583942,0.010204081632653073
13,12,univariate_top_8__logreg_l1_c0.3_cwnone,univariate_top_8,univariate_top_k,logreg_l1_c0.3_cwnone,logreg_l1,0.652677757585064,0.6555961632393784,0.2320094497030067,0.6096043718985559,10,10,1,8.0,8,8,0.6497136895699708,0.012537746624446067,0.6543461304478397,0.23158977172651354,0.608405177395123,0.0,0.6805194805194805,0.6403167932414242,0.2250006264563364,0.6258503401360545,0.6086956521739131,0.6,0.60431654676259,0.05213525710379102,accuracy,0.51,0.6258503401360545,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.0
14,13,intersection_vote_top_11_min3__logreg_l2_c5.0_cwnone,intersection_vote_top_11_min3,intersection_vote_top_k,logreg_l2_c5.0_cwnone,logreg_l2,0.6522133732723336,0.6568994592654748,0.2324990133354862,0.6025357927429741,10,10,1,6.0,5,8,0.6487746311470628,0.016178916417199676,0.6544276307744967,0.23170389522781973,0.6076227897838901,0.0,0.6801484230055658,0.6428386592436514,0.22588537269550266,0.6156462585034014,0.6097560975609756,0.5357142857142857,0.5703422053231939,0.04962685080806949,accuracy,0.51,0.6156462585034014,0.6115702479338843,0.5285714285714286,0.5670498084291188,0.0
15,29,univariate_top_17__logreg_l2_c0.3_cwbalanced,univariate_top_17,univariate_top_k,logreg_l2_c0.3_cwbalanced,logreg_l2,0.6446670684151584,0.6614949091239712,0.2345945435788882,0.595475886418977,10,10,1,17.0,17,17,0.6494269756211121,0.015611701948311305,0.6561802034925415,0.23241008959514065,0.6099745752918062,0.0,0.6800092764378478,0.6424059256285172,0.22567780788287645,0.6156462585034014,0.593103448275862,0.6142857142857143,0.6035087719298246,0.03487425646711465,accuracy,0.52,0.6156462585034014,0.6062992125984252,0.55,0.5767790262172284,0.0
16,28,univariate_top_17__logreg_l2_c0.3_cwnone,univariate_top_17,univariate_top_k,logreg_l2_c0.3_cwnone,logreg_l2,0.6447254062260072,0.6614540680605002,0.2346107402899828,0.5909986372206839,10,10,1,17.0,17,17,0.6494655067437092,0.01548640178791372,0.6554263342930418,0.2320712908952547,0.6101737355059902,0.0,0.6797773654916512,0.6424840632787038,0.22576262480612821,0.6190476190476191,0.609375,0.5571428571428572,0.582089552238806,0.04925823247170803,accuracy,0.485,0.6122448979591837,0.5928571428571429,0.5928571428571429,0.5928571428571429,-0.006802721088435382
17,32,univariate_top_20__logreg_l2_c0.3_cwnone,univariate_top_20,univariate_top_k,logreg_l2_c0.3_cwnone,logreg_l2,0.642156380158504,0.6631137475900316,0.2352815901302148,0.6003859292281868,10,10,1,20.0,20,20,0.6475749801875028,0.014252499272546133,0.6563584305513157,0.23250426592703274,0.6087996455949767,0.0,0.6796846011131725,0.6422985389149015,0.22567198105732098,0.6190476190476191,0.609375,0.5571428571428572,0.582089552238806,0.05000923996724296,accuracy,0.495,0.6190476190476191,0.6076923076923076,0.5642857142857143,0.5851851851851851,0.0
18,5,block_budget_compact_11_univariate__logreg_l1_c0.1_cwnone,block_budget_compact_11_univariate,block_budget_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6531492822657248,0.6548844648980227,0.2317925959756137,0.6102190311603862,10,10,1,11.0,11,11,0.6446395324881914,0.01574019331134809,0.6566913090275491,0.2326983737166076,0.6040856735621557,0.0,0.6788961038961039,0.641165768921798,0.2254808711022619,0.6292517006802721,0.6131386861313869,0.6,0.6064981949458483,0.04752826265843737,accuracy,0.505,0.6360544217687075,0.6222222222222222,0.6,0.610909090909091,0.006802721088435382
19,2,univariate_tilt_top_11__logreg_l1_c0.1_cwbalanced,univariate_tilt_top_11,rank_scheme_top_k,logreg_l1_c0.1_cwbalanced,logreg_l1,0.6534767132068973,0.6539921281836686,0.2313942285606695,0.6110258635992073,10,10,1,11.0,11,11,0.6502728353495885,0.014756743938547262,0.6552460564152546,0.23199990007216464,0.6062467737586192,0.0,0.6788033395176253,0.6422743605696802,0.22586002159957894,0.6224489795918368,0.6058394160583942,0.5928571428571429,0.5992779783393501,0.050698052032237824,accuracy,0.54,0.6258503401360545,0.6293103448275862,0.5214285714285715,0.5703125,0.003401360544217691
20,1,univariate_tilt_top_11__logreg_l1_c0.1_cwnone,univariate_tilt_top_11,rank_scheme_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6536287326862762,0.6541993228122353,0.2315268311922736,0.6135521119875963,10,10,1,11.0,11,11,0.6502866483375961,0.014696356303452087,0.6543590159733537,0.23158986790562913,0.6080141762009323,0.0,0.6788033395176253,0.6422840966639053,0.22589724431357358,0.6292517006802721,0.6220472440944882,0.5642857142857143,0.5917602996254682,0.02138996434727366,accuracy,0.505,0.6224489795918368,0.616,0.55,0.5811320754716981,-0.006802721088435382
21,6,block_budget_compact_11_univariate__logreg_l1_c0.1_cwbalanced,block_budget_compact_11_univariate,block_budget_top_k,logreg_l1_c0.1_cwbalanced,logreg_l1,0.6530934078255413,0.6547326449761633,0.2316692092906784,0.6116725195324793,10,10,1,11.0,11,11,0.6446272193774734,0.015791110085063106,0.6575198221319886,0.23307696688191185,0.5964278284987865,0.0,0.6788033395176252,0.6415845331610449,0.22560195522438728,0.6190476190476191,0.5958904109589042,0.6214285714285714,0.6083916083916084,0.05034683383950868,accuracy,0.52,0.6326530612244898,0.6176470588235294,0.6,0.6086956521739131,0.013605442176870763
22,25,block_budget_compact_11_univariate__logreg_l2_c10.0_cwnone,block_budget_compact_11_univariate,block_budget_top_k,logreg_l2_c10.0_cwnone,logreg_l2,0.6496903698598661,0.6575811983123147,0.2330311105743609,0.6022785379970838,10,10,1,11.0,11,11,0.6423659100903809,0.016651889127011203,0.6580470098922535,0.23333558730399012,0.5995658538464502,0.0,0.6785714285714285,0.6414174968159142,0.2255299231684283,0.6394557823129252,0.6214285714285714,0.6214285714285714,0.6214285714285714,0.046853360001103794,accuracy,0.515,0.6292517006802721,0.6201550387596899,0.5714285714285714,0.5947955390334573,-0.010204081632653073
23,20,univariate_top_14__logreg_l2_c0.3_cwbalanced,univariate_top_14,univariate_top_k,logreg_l2_c0.3_cwbalanced,logreg_l2,0.6501542353177525,0.6574449875282246,0.2328202665012354,0.6046899856071509,10,10,1,14.0,14,14,0.6462971086474687,0.01617526096779363,0.6574733770975708,0.23299602030791894,0.606049924881544,0.0,0.6785250463821892,0.6417549990723231,0.22551359842219998,0.6258503401360545,0.5986842105263158,0.65,0.6232876712328768,0.05284143117362379,accuracy,0.51,0.608843537414966,0.5874125874125874,0.6,0.5936395759717314,-0.017006802721088454
24,19,univariate_top_14__logreg_l2_c0.3_cwnone,univariate_top_14,univariate_top_k,logreg_l2_c0.3_cwnone,logreg_l2,0.6503982139261137,0.6572946448058993,0.2327792664147501,0.6000939690231518,10,10,1,14.0,14,14,0.6463001749697433,0.01606985142925121,0.656745030659472,0.23266550169794945,0.6086031819407528,0.0,0.6784786641929499,0.6410652026140873,0.22529890405786826,0.6156462585034014,0.5971223021582733,0.5928571428571429,0.5949820788530465,0.06176834820628517,accuracy,0.49,0.608843537414966,0.5874125874125874,0.6,0.5936395759717314,-0.006802721088435382
25,26,block_budget_compact_11_univariate__logreg_l2_c5.0_cwbalanced,block_budget_compact_11_univariate,block_budget_top_k,logreg_l2_c5.0_cwbalanced,logreg_l2,0.6496614908541988,0.657468318897386,0.2329184593325809,0.60030150455962,10,10,1,11.0,11,11,0.6423396911220693,0.016706228718474377,0.6587582300558152,0.23365687810215632,0.6017304210485765,0.0,0.6782931354359926,0.6418577432133233,0.22564608892767107,0.6258503401360545,0.6,0.6428571428571429,0.6206896551724138,0.05059760626444786,accuracy,0.535,0.6292517006802721,0.6201550387596899,0.5714285714285714,0.5947955390334573,0.003401360544217691
26,8,univariate_tilt_top_11__logreg_elastic_c0.1_r08,univariate_tilt_top_11,rank_scheme_top_k,logreg_elastic_c0.1_r08,logreg_elasticnet,0.652953152877405,0.6542022555756358,0.2315097221799232,0.6111426476812212,10,10,1,11.0,11,11,0.6501813852048708,0.01479016880834473,0.6551450621954702,0.23195577137885487,0.6082106398551562,0.0,0.6782467532467532,0.6424066770388636,0.22590487119134167,0.6156462585034014,0.6,0.5785714285714286,0.5890909090909091,0.04772654736035993,accuracy,0.515,0.6258503401360545,0.6171875,0.5642857142857143,0.5895522388059702,0.010204081632653073
27,23,block_budget_compact_11__logreg_l2_c5.0_cwnone,block_budget_compact_11,block_budget_top_k,logreg_l2_c5.0_cwnone,logreg_l2,0.6498304660810909,0.6565309194881493,0.2325745824459307,0.6022201459560768,10,10,1,11.0,11,11,0.6421861485251525,0.015245418746912428,0.6579537997580172,0.23333372636428873,0.5991721560922995,0.0,0.67778293135436,0.642496172968201,0.22593769625487367,0.6394557823129252,0.6287878787878788,0.5928571428571429,0.6102941176470589,0.05112153458528958,accuracy,0.53,0.6224489795918368,0.6218487394957983,0.5285714285714286,0.5714285714285714,-0.017006802721088454
28,24,block_budget_compact_11_conservative__logreg_l2_c5.0_cwnone,block_budget_compact_11_conservative,block_budget_top_k,logreg_l2_c5.0_cwnone,logreg_l2,0.6498304660810909,0.6565309194881493,0.2325745824459307,0.6022201459560768,10,10,1,11.0,11,11,0.6439857774676387,0.016757940895447656,0.6572538175261904,0.2329932181451146,0.601333256288763,0.0,0.67778293135436,0.642496172968201,0.22593769625487367,0.6394557823129252,0.6287878787878788,0.5928571428571429,0.6102941176470589,0.05112153458528958,accuracy,0.51,0.6326530612244898,0.625,0.5714285714285714,0.5970149253731343,-0.006802721088435382
29,21,block_budget_compact_11__logreg_l2_c10.0_cwnone,block_budget_compact_11,block_budget_top_k,logreg_l2_c10.0_cwnone,logreg_l2,0.6498699810816541,0.6565323326898417,0.2325740670180588,0.6022201459560768,10,10,1,11.0,11,11,0.6421784045789393,0.015239688334536209,0.6579584136585998,0.23333599009183784,0.598779614006703,0.0,0.67778293135436,0.6425048629355046,0.22594063850737456,0.6394557823129252,0.6287878787878788,0.5928571428571429,0.6102941176470589,0.0511287022376708,accuracy,0.53,0.6224489795918368,0.6218487394957983,0.5285714285714286,0.5714285714285714,-0.017006802721088454
30,22,block_budget_compact_11_conservative__logreg_l2_c10.0_cwnone,block_budget_compact_11_conservative,block_budget_top_k,logreg_l2_c10.0_cwnone,logreg_l2,0.6498699810816541,0.6565323326898417,0.2325740670180588,0.6022201459560768,10,10,1,11.0,11,11,0.6439888560322479,0.016769221940122096,0.6572579835088372,0.23299527580572704,0.6011371778573904,0.0,0.67778293135436,0.6425048629355046,0.22594063850737456,0.6394557823129252,0.6287878787878788,0.5928571428571429,0.6102941176470589,0.0511287022376708,accuracy,0.51,0.6326530612244898,0.625,0.5714285714285714,0.5970149253731343,-0.006802721088435382
31,27,l1_top_8__gaussian_nb_1e-06,l1_top_8,l1_top_k,gaussian_nb_1e-06,gaussian_nb,0.6472479568806903,0.6638004834644867,0.2354997364185962,0.6027756876928893,10,10,1,8.0,8,8,0.6435978411216581,0.020538725727966962,0.6818677329611429,0.23817632022752475,0.5993709310836318,0.0,0.6761595547309833,0.6469355020937229,0.22811585291842543,0.6224489795918368,0.6058394160583942,0.5928571428571429,0.5992779783393501,0.04748833336312677,accuracy,0.585,0.6326530612244898,0.6777777777777778,0.4357142857142857,0.5304347826086957,0.010204081632653073
32,31,consensus_top_11__logreg_l2_c10.0_cwnone,consensus_top_11,rank_scheme_top_k,logreg_l2_c10.0_cwnone,logreg_l2,0.6438291464092244,0.6640768427275404,0.2358284710327364,0.5940941691436764,10,10,1,11.0,11,11,0.6466751632295356,0.01534699756471533,0.6565095576204742,0.23260933162918343,0.6089930274663893,0.0,0.6746289424860853,0.6461446087353974,0.22754766382474484,0.608843537414966,0.5954198473282443,0.5571428571428572,0.5756457564575646,0.05009479590870557,accuracy,0.5,0.608843537414966,0.5954198473282443,0.5571428571428572,0.5756457564575646,0.0
33,30,consensus_top_11__logreg_l2_c3.0_cwnone,consensus_top_11,rank_scheme_top_k,logreg_l2_c3.0_cwnone,logreg_l2,0.6438330606142381,0.6640122691553333,0.2358048626983164,0.5940941691436764,10,10,1,11.0,11,11,0.646698323144459,0.015366393086244606,0.6564994077287669,0.23260437580870366,0.6086004853807927,0.0,0.6743970315398887,0.6461139830066097,0.2275375159598817,0.608843537414966,0.5954198473282443,0.5571428571428572,0.5756457564575646,0.05278239053763746,accuracy,0.5,0.608843537414966,0.5954198473282443,0.5571428571428572,0.5756457564575646,0.0
34,34,univariate_tilt_top_11__svm_rbf_c0.3_auto,univariate_tilt_top_11,rank_scheme_top_k,svm_rbf_c0.3_auto,svm_rbf,0.6389418083048416,0.6662406147498031,0.2367674939086338,0.5947581848729235,10,10,1,11.0,11,11,0.6361905532789277,0.01760802674988765,0.6646825745394775,0.23606128436899282,0.6011414153087562,0.0,0.6650278293135435,0.6509697058839375,0.22940235703776213,0.6224489795918368,0.6218487394957983,0.5285714285714286,0.5714285714285714,0.03226179684945871,accuracy,0.455,0.6292517006802721,0.6040268456375839,0.6428571428571429,0.6228373702422145,0.006802721088435382
35,35,consensus_top_20__rf_n800_d16_l2_fsqrt,consensus_top_20,rank_scheme_top_k,rf_n800_d16_l2_fsqrt,random_forest,0.6217822411735453,0.6695575360202024,0.2385340848660071,0.5875359039210433,10,50,5,20.0,20,20,0.6074532857756886,0.030603179214894756,0.6979945541084251,0.24921867558735847,0.5796157787279941,0.0014854061408841803,0.6625231910946197,0.6499052821822405,0.22942021874132135,0.6054421768707483,0.5923076923076923,0.55,0.5703703703703704,0.062182799278378276,accuracy,0.525,0.5952380952380952,0.5981308411214953,0.45714285714285713,0.5182186234817814,-0.010204081632653073
36,36,univariate_top_11__knn_k10_uniform,univariate_top_11,univariate_top_k,knn_k10_uniform,knn,0.585229398866117,0.7212349900381154,0.2528389618644147,0.5603358340861407,10,10,1,11.0,11,11,0.5947148686598335,0.014836487177451401,0.814044240907798,0.2543672868754575,0.5671605223621865,0.0,0.6254638218923932,1.1577270630601646,0.25204081632653064,0.6054421768707483,0.5821917808219178,0.6071428571428571,0.5944055944055944,0.09523804081632646,accuracy,0.505,0.5748299319727891,0.5757575757575758,0.40714285714285714,0.4769874476987448,-0.030612244897959218
37,37,all_snapshot_features__dummy_prior,all_snapshot_features,all_features,dummy_prior,dummy_prior,0.5,0.6928959778188659,0.2498739526264671,0.5235208323204823,10,10,1,38.0,38,38,0.5,0.0,0.6923451393867921,0.2495990862559126,0.5200315882738163,0.0,0.5,0.6920415648896426,0.24944738063046967,0.5238095238095238,0.0,0.0,0.0,0.003778101971346204,accuracy,0.5,0.5238095238095238,0.0,0.0,0.0,0.0
