candidate_name,feature_set_name,feature_count,features
univariate_tilt_top_11__logreg_l1_c0.1_cwnone,univariate_tilt_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_pistol_round_rating_mean_5"
univariate_tilt_top_11__logreg_l1_c0.1_cwbalanced,univariate_tilt_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_pistol_round_rating_mean_5"
univariate_top_8__logreg_l1_c0.1_cwnone,univariate_top_8,8,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5"
univariate_top_8__logreg_l1_c0.1_cwbalanced,univariate_top_8,8,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5"
block_budget_compact_11_univariate__logreg_l1_c0.1_cwnone,block_budget_compact_11_univariate,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_opening_kills_per_round_mean_5,diff_kd_mean_5,diff_deaths_per_round_mean_5"
block_budget_compact_11_univariate__logreg_l1_c0.1_cwbalanced,block_budget_compact_11_univariate,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_opening_kills_per_round_mean_5,diff_kd_mean_5,diff_deaths_per_round_mean_5"
univariate_top_11__logreg_l1_c0.1_cwnone,univariate_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5"
univariate_tilt_top_11__logreg_elastic_c0.1_r08,univariate_tilt_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_pistol_round_rating_mean_5"
univariate_top_11__logreg_l1_c0.1_cwbalanced,univariate_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5"
univariate_top_8__logreg_elastic_c0.1_r08,univariate_top_8,8,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5"
univariate_top_8__logreg_elastic_c0.3_r08,univariate_top_8,8,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5"
univariate_top_8__logreg_l1_c0.3_cwnone,univariate_top_8,8,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5"
intersection_vote_top_11_min3__logreg_l2_c5.0_cwnone,intersection_vote_top_11_min3,6,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5"
univariate_top_8__logreg_l2_c10.0_cwbalanced,univariate_top_8,8,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5"
univariate_top_8__logreg_l2_c5.0_cwbalanced,univariate_top_8,8,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5"
univariate_top_11__svm_linear_c0.1_cwnone,univariate_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5"
univariate_top_11__logreg_l2_c0.3_cwnone,univariate_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5"
univariate_top_11__logreg_l2_c0.3_cwbalanced,univariate_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5"
univariate_top_14__logreg_l2_c0.3_cwnone,univariate_top_14,14,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_adr_mean_5"
univariate_top_14__logreg_l2_c0.3_cwbalanced,univariate_top_14,14,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_adr_mean_5"
block_budget_compact_11__logreg_l2_c10.0_cwnone,block_budget_compact_11,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_utility_damage_per_round_mean_5,diff_headshot_pct_mean_5,diff_utility_kills_per_100_rounds_mean_5,diff_assists_per_round_mean_5,diff_opening_success_mean_5,diff_opening_deaths_per_round_mean_5"
block_budget_compact_11_conservative__logreg_l2_c10.0_cwnone,block_budget_compact_11_conservative,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_utility_damage_per_round_mean_5,diff_headshot_pct_mean_5,diff_utility_kills_per_100_rounds_mean_5,diff_assists_per_round_mean_5,diff_opening_success_mean_5,diff_opening_deaths_per_round_mean_5"
block_budget_compact_11__logreg_l2_c5.0_cwnone,block_budget_compact_11,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_utility_damage_per_round_mean_5,diff_headshot_pct_mean_5,diff_utility_kills_per_100_rounds_mean_5,diff_assists_per_round_mean_5,diff_opening_success_mean_5,diff_opening_deaths_per_round_mean_5"
block_budget_compact_11_conservative__logreg_l2_c5.0_cwnone,block_budget_compact_11_conservative,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_utility_damage_per_round_mean_5,diff_headshot_pct_mean_5,diff_utility_kills_per_100_rounds_mean_5,diff_assists_per_round_mean_5,diff_opening_success_mean_5,diff_opening_deaths_per_round_mean_5"
block_budget_compact_11_univariate__logreg_l2_c10.0_cwnone,block_budget_compact_11_univariate,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_opening_kills_per_round_mean_5,diff_kd_mean_5,diff_deaths_per_round_mean_5"
block_budget_compact_11_univariate__logreg_l2_c5.0_cwbalanced,block_budget_compact_11_univariate,11,"diff_elo_pre_match,diff_recent_win_rate,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_opening_kills_per_round_mean_5,diff_kd_mean_5,diff_deaths_per_round_mean_5"
l1_top_8__gaussian_nb_1e-06,l1_top_8,8,"diff_elo_pre_match,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_time_alive_per_round_mean_5,context_is_lan,diff_pistol_round_rating_mean_5,diff_assists_per_round_mean_5,diff_impact_mean_5"
univariate_top_17__logreg_l2_c0.3_cwnone,univariate_top_17,17,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_adr_mean_5,diff_maps_played_mean_5,diff_rounds_played_mean_5,diff_kills_per_round_mean_5"
univariate_top_17__logreg_l2_c0.3_cwbalanced,univariate_top_17,17,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_adr_mean_5,diff_maps_played_mean_5,diff_rounds_played_mean_5,diff_kills_per_round_mean_5"
consensus_top_11__logreg_l2_c3.0_cwnone,consensus_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_pistol_round_rating_mean_5,diff_utility_damage_per_round_mean_5,diff_headshot_pct_mean_5,diff_utility_kills_per_100_rounds_mean_5"
consensus_top_11__logreg_l2_c10.0_cwnone,consensus_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_pistol_round_rating_mean_5,diff_utility_damage_per_round_mean_5,diff_headshot_pct_mean_5,diff_utility_kills_per_100_rounds_mean_5"
univariate_top_20__logreg_l2_c0.3_cwnone,univariate_top_20,20,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_adr_mean_5,diff_maps_played_mean_5,diff_rounds_played_mean_5,diff_kills_per_round_mean_5,diff_rounds_with_a_kill_mean_5,diff_total_kills_mean_5,diff_utility_damage_per_round_mean_5"
univariate_top_20__logreg_l2_c1.0_cwnone,univariate_top_20,20,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_adr_mean_5,diff_maps_played_mean_5,diff_rounds_played_mean_5,diff_kills_per_round_mean_5,diff_rounds_with_a_kill_mean_5,diff_total_kills_mean_5,diff_utility_damage_per_round_mean_5"
univariate_tilt_top_11__svm_rbf_c0.3_auto,univariate_tilt_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_opening_success_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_pistol_round_rating_mean_5"
consensus_top_20__rf_n800_d16_l2_fsqrt,consensus_top_20,20,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_maps_played_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_impact_mean_5,diff_rating_mean_5,diff_pistol_round_rating_mean_5,diff_utility_damage_per_round_mean_5,diff_headshot_pct_mean_5,diff_utility_kills_per_100_rounds_mean_5,diff_one_on_one_win_pct_mean_5,diff_assists_per_round_mean_5,diff_saved_by_teammate_per_round_mean_5,context_is_lan,diff_flash_assists_per_round_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_opening_success_mean_5,diff_opening_deaths_per_round_mean_5,diff_damage_per_round_win_mean_5"
univariate_top_11__knn_k10_uniform,univariate_top_11,11,"diff_elo_pre_match,diff_time_alive_per_round_mean_5,diff_recent_win_rate,diff_rating_mean_5,diff_deaths_per_round_mean_5,diff_kd_mean_5,diff_last_alive_pct_mean_5,diff_opening_kills_per_round_mean_5,diff_kast_mean_5,diff_impact_mean_5,diff_opening_success_mean_5"
all_snapshot_features__dummy_prior,all_snapshot_features,38,"diff_recent_win_rate,diff_maps_played_mean_5,diff_rounds_played_mean_5,diff_total_kills_mean_5,diff_rating_mean_5,diff_adr_mean_5,diff_impact_mean_5,diff_kast_mean_5,diff_kd_mean_5,diff_kills_per_round_mean_5,diff_deaths_per_round_mean_5,diff_assists_per_round_mean_5,diff_headshot_pct_mean_5,diff_saved_by_teammate_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_flash_assists_per_round_mean_5,diff_utility_kills_per_100_rounds_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_opening_kills_per_round_mean_5,diff_opening_deaths_per_round_mean_5,diff_opening_success_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_trade_kills_per_round_mean_5,diff_saved_teammate_per_round_mean_5,diff_last_alive_pct_mean_5,diff_one_on_one_win_pct_mean_5,diff_time_alive_per_round_mean_5,diff_rounds_with_a_kill_mean_5,diff_kills_per_round_win_mean_5,diff_damage_per_round_win_mean_5,diff_pistol_round_rating_mean_5,diff_players_count,diff_missing_players,context_is_lan,context_is_bo1,context_is_bo3,context_is_bo5,diff_elo_pre_match"
